plate_number,classify,category,description,language
RAVIPB39,Approve,H,Approved Plate,English
rehmat20,Reject,C,"""Rehmat is an Arabic word meaning mercy and is a significant religious term in Islam, often referring to the mercy of God.""",Arabic
ROYROY8,Approve,H,Approved Plate,English
rvrhghts,Reject,C,"""RVR is a common abbreviation for Reverend, a religious title, making the plate a reference to religion.""",English
rxixis,Reject,F,"""The sequence IXIS is a clear reference to the terrorist organization ISIS, which is associated with extreme violence and criminal acts.""",English
s.kah10n,Approve,H,Approved Plate,English
sa.jaat,Reject,G,"""The term Jaat refers to a specific caste/ethnic group from South Asia, which is considered a violation of human-rights discrimination policies.""",Hindi
SAIIMA,Reject,C,"""The plate SAIIMA is the transliteration of an Arabic word meaning fasting woman, a term with direct religious significance.""",Arabic
see.u.tm,Approve,H,Approved Plate,English
SH4NSGO,Approve,H,Approved Plate,English
02.sk,Approve,H,Approved Plate,English
13.rajaa,Reject,E,"""Raja is a title for a monarch or ruler in South Asia, which is a prohibited reference to a political figure or dignitary.""",Hindi/Sanskrit
1320.ftw,Reject,B,"""The acronym FTW is commonly understood to mean Fuck The World, which is considered obscene and inappropriate for a license plate.""",English
179.mph,Reject,F,"""The plate references an excessive and illegal speed of 179 miles per hour, which promotes dangerous driving and is considered a criminal activity.""",English
1963merc,Reject,F,referrring to mercy for war of 1963,English
4hunnit,Reject,F,"""The term 4hunnit is slang associated with a specific brand and rapper, which has well-known connections to gang culture and criminal activity.""",English
4upudn,Reject,A,"""The sequence 4UPUD can be interpreted as For you pud, where pud is a slang term for penis, making it sexually suggestive.""",English
500.b3nz,Reject,D,Benz refers to abbrevation for a type of drug,English
7.hryana,Reject,E,"""The plate refers to Haryana, an Indian state, which is considered a political and geographical reference and is not permitted.""",English
8pxprdtr,Reject,F,"""The plate can be interpreted as Apex Predator, a term associated with violence, hunting, and killing.""",English
99JAT,Reject,G,"""The term JAT refers to a specific ethnic and social group from South Asia, which is not permitted on license plates.""",Punjabi
9deuce,Reject,A,"""The word deuce is a common slang term for feces, which is a reference to eliminatory functions.""",English
AGG1N,Reject,G,"""The reversed plate, with 1 read as I, spells NIGGA, a deeply offensive racial slur.""",English
albadhi,Reject,C,"""Al-Badhi is a transliteration of Al-Badi, one of the 99 names of Allah in Islam, which is a prohibited religious reference.""",Arabic
alkareem,Reject,C,"""Al-Kareem is one of the 99 names of Allah in Islam, making it a direct and significant religious reference.""",Arabic
aloysius,Reject,C,"""Aloysius is the name of a prominent Catholic saint, making it an unacceptable religious reference.""",English
amg4race,Approve,H,Approved Plate,English
anay.26,Reject,A,"""The sequence ANAY is phonetically and visually very similar to ANAL, a term with a clear sexual meaning.""",English
asbag,Reject,B,"""The plate can be interpreted as ass bag, which is considered an obscene and derogatory term.""",English
fav.357,Reject,F,"""The number 357 refers to the .357 Magnum, a well-known firearm caliber, which is a reference to violence or weaponry.""",English
ffarrar,Approve,H,Approved Plate,English
g.amraj,Reject,C,"""The plate AMRAJ can be interpreted as Amar Raj, which means immortal kingdom, a significant religious and political concept in Sikhism.""",Punjabi
g.shoker,Reject,A,"""The sequence shoker is a phonetic spelling of shocker, a well-known slang term for a sexual hand gesture.""",English
GANMAO99,Reject,E,The sequence GANMAO can be interpreted in Mandarin as an offensive phrase directed at the political figure Mao Zedong.,Chinese
gbishnoi,Reject,C,Bishnoi is community in India,English
gj2.goga,Reject,C,"""The sequence GOGA refers to Goga-ji, a folk deity worshipped in parts of India, which is a religious reference.""",Hindi
shah.23,Reject,E,"""Shah is a title for a monarch in Persian-speaking countries, which is not permitted as it refers to a political figure or dignitary.""",Persian
shorty49,Reject,F,"""Shorty is a slang term for a sawed-off shotgun, a reference to a weapon and criminal activity.""",English
sial8er,Reject,B,"""The sequence sial is a curse word in Malay and Indonesian, meaning damn or unlucky, which is considered derogatory slang.""",Malay
SINHMAR1,Reject,F,"""The plate can be read as Singh Mar, which translates from Hindi/Punjabi to kill/hit Singh, a direct reference to violence.""",Hindi
SKA37O6S,Reject,A,"""The sequence SKA37O uses leetspeak (3=E, 7=T) to resemble skato, the Greek word for shit, which refers to eliminatory functions.""",Greek
slammmy,Reject,A,"""Slam is a slang term for sexual intercourse, making the plate sexually suggestive and inappropriate for public display.""",English
slow.ims,Approve,H,Approved Plate,English
SLOWNEON,Approve,H,Approved Plate,English
SMSHBROS,Reject,A,"""The term smash is common slang for sexual intercourse, making the plate read as smash brothers, which has clear sexual connotations.""",English
SPCTCULR,Approve,H,Approved Plate,English
sprbty22,Reject,A,"""The sequence sprbty can be interpreted as Super Booty, a slang term with sexual connotations.""",English
T1M1R,Reject,E,"""The plate spells TIMIR, a variation of Timur, a historical conqueror and political figure. References to political figures are not permitted.""",English
T3ACH3R,Approve,H,Approved Plate,English
taaj.s,Reject,E,"""Taaj is the word for crown in Hindi/Urdu, a title associated with royalty and dignitaries, making it unsuitable for a license plate.""",Hindi/Urdu
taknbyac,Reject,B,"""Can be interpreted as Taken by a C, where C is a common and vulgar abbreviation for an offensive term.""",English
thrt3,Reject,F,"""The plate thrt3 can be interpreted as threat, which is a term associated with violence and criminal activity.""",English
tintwife,Reject,A,"""The plate can be phonetically interpreted as taint wife, where taint is a vulgar slang term with a sexual meaning.""",English
TRTLTRTL,Approve,H,Approved Plate,English
tsla8888,Reject,G,"""The number sequence 88 is a well-known white supremacist code for Heil Hitler, making the plate unacceptable due to its discriminatory connotations.""",English
UBHIGANG,Reject,F,"""The plate contains the word GANG, which is directly associated with criminal organizations and activity.""",English
uk07aale,Reject,D,"""The plate contains the substring ale, which is a direct reference to an alcoholic beverage.""",English
umiya.7,Reject,C,"""Refers to Umiya, a Hindu goddess, which is a prohibited religious reference.""",Hindi
UPGR8DE,Approve,H,Approved Plate,English
v.jat,Reject,G,The term Jat refers to a specific caste from South Asia. Public display of caste identifiers is sensitive and can be considered discriminatory.,Punjabi/Hindi
ve.saini,Approve,H,Approved Plate,Punjabi
x.apradi,Reject,F,"""The sequence APRADI is the Hindi word for criminal, which relates to criminal activity.""",Hindi
x7.saini,Approve,H,Approved Plate,Punjabi
XINBABE,Reject,A,The term BABE is often used to refer to a sexually attractive person and can be considered sexually suggestive or objectifying.,English
XJATT13X,Reject,C,"""The combination of JATT and the number 13 (Tera) has strong religious connotations in Sikhism, making it an unacceptable religious reference.""",Punjabi
xkxxx,Reject,A,"""The sequence XXX is a widely recognized symbol for pornography and sexually explicit content, making the plate inappropriate.""",English
XSIDHHU,Reject,G,"""The sequence HH is a known abbreviation for Heil Hitler, a symbol of Nazism and hate speech, which is discriminatory.""",German
yan2688,Approve,H,Approved Plate,Chinese
yeaa.mon,Reject,D,"""The phrase Yeah mon is strongly associated with Rastafarian culture and its connection to marijuana, constituting an indirect reference to drugs.""",English
YPPNN,Reject,A,"""YPPNN is an acronym for a Chinese slang phrase meaning no underwear, which is sexually suggestive and inappropriate.""",Chinese
ZKBAL,Reject,B,"""The plate ZKBAL is phonetically similar to the Arabic word for garbage or trash, which is considered a derogatory term.""",Arabic
zora.7,Reject,B,"""The sequence ZORA is phonetically identical to zorra, a highly offensive and derogatory Spanish slang term for a woman.""",Spanish
zorawxr,Reject,G,Zorawar is pointing to communities,English
STRING,Approve,H,Approved Plate,English
aseman,Reject,A,"""The sequence seman is phonetically identical to semen, a term with a direct sexual meaning.""",English
ashubaba,Reject,C,"""Baba is a title for a holy man or spiritual leader in many South Asian cultures, making Ashu Baba a reference to a religious figure.""",Hindi
aukat.mc,Reject,B,"""Aukat is a Hindi/Urdu term for status or worth, often used in a derogatory or confrontational manner to put someone down.""",Hindi/Urdu
AVEXWARE,Approve,H,Approved Plate,English
azzzman,Reject,A,"""The plate can be phonetically interpreted as Ass Man, which has a clear sexual connotation and is considered vulgar.""",English
B4H4D1R,Reject,E,"""The plate spells Bahadir, a historical title of honor in Turkic and Mongol cultures, referencing dignitaries or nobility.""",Turkic
barakah,Reject,C,"""Barakah is an Arabic word meaning blessing or divine grace and is a significant term in Islam, making it a religious reference.""",Arabic
batth.gs,Approve,H,Approved Plate,Punjabi
bbb88bbb,Reject,G,"""The number 88 is a well-known white supremacist code for Heil Hitler, a symbol of hate and discrimination.""",German
bblmiata,Reject,A,"""The acronym BBL stands for Brazilian Butt Lift, a reference to a cosmetic procedure that is considered sexually suggestive.""",English
beat7es,Reject,F,"""The plate contains the word beat, which directly refers to a violent act and is therefore unacceptable.""",English
BECARJR,Reject,B,"""Becar is a transliteration of the Hindi/Urdu word Bekar, which means useless or worthless and is considered derogatory slang.""",Hindi/Urdu
bet.pro,Reject,F,"""The plate BET.PRO promotes professional gambling, which is considered an inappropriate activity to endorse on a government-issued license plate.""",English
bewicked,Reject,C,"""The term wicked has strong religious connotations, referring to evil, sin, or witchcraft, making it inappropriate.""",English
BH4VNEET,Approve,H,Approved Plate,Punjabi
bhau.oye,Reject,B,"""The phrase Bhau Oye is a rude and derogatory way to address someone in Punjabi/Hindi, which is considered abusive language.""",Punjabi/Hindi
BOSS31,Reject,F,"""The term BOSS is often associated with the leader of a criminal organization, which falls under the category of criminal activity.""",English
brorelax,Approve,H,Approved Plate,English
buong,Reject,D,"""BUONG is phonetically and visually similar to bong, a term for drug paraphernalia, making it an indirect reference to drug use.""",English
busso,Reject,A,"""The word busso is a slang term in Italian for a sexual act, making it inappropriate for a license plate.""",Italian
buz2z,Reject,D,"""The term buzz is a common slang for being intoxicated by alcohol, making the plate an inappropriate reference to alcohol consumption.""",English
CANXRLTY,Approve,H,Approved Plate,English
chargd.c,Reject,F,"""The sequence CHARGD is interpreted as charged, which directly refers to being formally accused of a crime, a reference to criminal activity.""",English
chd4life,Approve,H,Approved Plate,English
CHECK,Approve,H,Approved Plate,English
