plate_number,classify,category,description,language,unknown
RAVIPB39,Approve,,,English,7/21/2025
rehmat20,Reject,C,"""Rehmat is an Arabic word meaning mercy and is a significant religious term in Islam, often referring to the mercy of God.""",Arabic,7/18/2025
ROYROY8,Approve,,,English,7/21/2025
rvrhghts,Reject,C,"""RVR is a common abbreviation for Reverend, a religious title, making the plate a reference to religion.""",English,7/18/2025
rxixis,Reject,F,"""The sequence IXIS is a clear reference to the terrorist organization ISIS, which is associated with extreme violence and criminal acts.""",English,7/21/2025
s.kah10n,Approve,,,English,7/19/2025
sa.jaat,Reject,G,"""The term Jaat refers to a specific caste/ethnic group from South Asia, which is considered a violation of human-rights discrimination policies.""",Hindi,7/21/2025
SAIIMA,Reject,C,"""The plate SAIIMA is the transliteration of an Arabic word meaning fasting woman, a term with direct religious significance.""",Arabic,7/18/2025
see.u.tm,Approve,,,English,7/21/2025
SH4NSGO,Approve,,,English,7/18/2025
02.sk,Approve,,,English,7/21/2025
13.rajaa,Reject,E,"""Raja is a title for a monarch or ruler in South Asia, which is a prohibited reference to a political figure or dignitary.""",Hindi/Sanskrit,7/21/2025
1320.ftw,Reject,B,"""The acronym FTW is commonly understood to mean Fuck The World, which is considered obscene and inappropriate for a license plate.""",English,7/21/2025
179.mph,Reject,F,"""The plate references an excessive and illegal speed of 179 miles per hour, which promotes dangerous driving and is considered a criminal activity.""",English,7/21/2025
1963merc,Reject,F,referrring to mercy for war of 1963,English,7/21/2025
4hunnit,Reject,F,"""The term 4hunnit is slang associated with a specific brand and rapper, which has well-known connections to gang culture and criminal activity.""",English,7/21/2025
4upudn,Reject,A,"""The sequence 4UPUD can be interpreted as For you pud, where pud is a slang term for penis, making it sexually suggestive.""",English,7/21/2025
500.b3nz,Reject,D,Benz refers to abbrevation for a type of drug,English,7/19/2025
7.hryana,Reject,E,"""The plate refers to Haryana, an Indian state, which is considered a political and geographical reference and is not permitted.""",English,7/21/2025
8pxprdtr,Reject,F,"""The plate can be interpreted as Apex Predator, a term associated with violence, hunting, and killing.""",English,7/21/2025
99JAT,Reject,G,"""The term JAT refers to a specific ethnic and social group from South Asia, which is not permitted on license plates.""",Punjabi,7/18/2025
9deuce,Reject,A,"""The word deuce is a common slang term for feces, which is a reference to eliminatory functions.""",English,7/21/2025
AGG1N,Reject,G,"""The reversed plate, with 1 read as I, spells NIGGA, a deeply offensive racial slur.""",English,7/18/2025
albadhi,Reject,C,"""Al-Badhi is a transliteration of Al-Badi, one of the 99 names of Allah in Islam, which is a prohibited religious reference.""",Arabic,7/21/2025
alkareem,Reject,C,"""Al-Kareem is one of the 99 names of Allah in Islam, making it a direct and significant religious reference.""",Arabic,7/18/2025
aloysius,Reject,C,"""Aloysius is the name of a prominent Catholic saint, making it an unacceptable religious reference.""",English,7/21/2025
amg4race,Approve,,,English,7/21/2025
anay.26,Reject,A,"""The sequence ANAY is phonetically and visually very similar to ANAL, a term with a clear sexual meaning.""",English,7/19/2025
asbag,Reject,B,"""The plate can be interpreted as ass bag, which is considered an obscene and derogatory term.""",English,7/18/2025
fav.357,Reject,F,"""The number 357 refers to the .357 Magnum, a well-known firearm caliber, which is a reference to violence or weaponry.""",English,7/21/2025
ffarrar,Approve,,,English,7/18/2025
g.amraj,Reject,C,"""The plate AMRAJ can be interpreted as Amar Raj, which means immortal kingdom, a significant religious and political concept in Sikhism.""",Punjabi,7/19/2025
g.shoker,Reject,A,"""The sequence shoker is a phonetic spelling of shocker, a well-known slang term for a sexual hand gesture.""",English,7/18/2025
GANMAO99,Reject,E,The sequence GANMAO can be interpreted in Mandarin as an offensive phrase directed at the political figure Mao Zedong.,Chinese,7/18/2025
gbishnoi,Reject,C,Bishnoi is community in India,English,7/21/2025
gj2.goga,Reject,C,"""The sequence GOGA refers to Goga-ji, a folk deity worshipped in parts of India, which is a religious reference.""",Hindi,7/18/2025
shah.23,Reject,E,"""Shah is a title for a monarch in Persian-speaking countries, which is not permitted as it refers to a political figure or dignitary.""",Persian,7/21/2025
shorty49,Reject,F,"""Shorty is a slang term for a sawed-off shotgun, a reference to a weapon and criminal activity.""",English,7/18/2025
sial8er,Reject,B,"""The sequence sial is a curse word in Malay and Indonesian, meaning damn or unlucky, which is considered derogatory slang.""",Malay,7/21/2025
SINHMAR1,Reject,F,"""The plate can be read as Singh Mar, which translates from Hindi/Punjabi to kill/hit Singh, a direct reference to violence.""",Hindi,7/18/2025
SKA37O6S,Reject,A,"""The sequence SKA37O uses leetspeak (3=E, 7=T) to resemble skato, the Greek word for shit, which refers to eliminatory functions.""",Greek,7/21/2025
slammmy,Reject,A,"""Slam is a slang term for sexual intercourse, making the plate sexually suggestive and inappropriate for public display.""",English,7/18/2025
slow.ims,Approve,,,English,7/21/2025
SLOWNEON,Approve,,,English,7/18/2025
SMSHBROS,Reject,A,"""The term smash is common slang for sexual intercourse, making the plate read as smash brothers, which has clear sexual connotations.""",English,7/21/2025
SPCTCULR,Approve,,,English,7/18/2025
sprbty22,Reject,A,"""The sequence sprbty can be interpreted as Super Booty, a slang term with sexual connotations.""",English,7/21/2025
T1M1R,Reject,E,"""The plate spells TIMIR, a variation of Timur, a historical conqueror and political figure. References to political figures are not permitted.""",English,7/18/2025
T3ACH3R,Approve,,,English,7/21/2025
taaj.s,Reject,E,"""Taaj is the word for crown in Hindi/Urdu, a title associated with royalty and dignitaries, making it unsuitable for a license plate.""",Hindi/Urdu,7/18/2025
taknbyac,Reject,B,"""Can be interpreted as Taken by a C, where C is a common and vulgar abbreviation for an offensive term.""",English,7/21/2025
thrt3,Reject,F,"""The plate thrt3 can be interpreted as threat, which is a term associated with violence and criminal activity.""",English,7/18/2025
tintwife,Reject,A,"""The plate can be phonetically interpreted as taint wife, where taint is a vulgar slang term with a sexual meaning.""",English,7/21/2025
TRTLTRTL,Approve,,,English,7/18/2025
tsla8888,Reject,G,"""The number sequence 88 is a well-known white supremacist code for Heil Hitler, making the plate unacceptable due to its discriminatory connotations.""",English,7/18/2025
UBHIGANG,Reject,F,"""The plate contains the word GANG, which is directly associated with criminal organizations and activity.""",English,7/21/2025
uk07aale,Reject,D,"""The plate contains the substring ale, which is a direct reference to an alcoholic beverage.""",English,7/18/2025
umiya.7,Reject,C,"""Refers to Umiya, a Hindu goddess, which is a prohibited religious reference.""",Hindi,7/21/2025
UPGR8DE,Approve,,,English,7/18/2025
v.jat,Reject,G,The term Jat refers to a specific caste from South Asia. Public display of caste identifiers is sensitive and can be considered discriminatory.,Punjabi/Hindi,7/21/2025
ve.saini,Approve,,,Punjabi,7/18/2025
x.apradi,Reject,F,"""The sequence APRADI is the Hindi word for criminal, which relates to criminal activity.""",Hindi,7/21/2025
x7.saini,Approve,,,Punjabi,7/18/2025
XINBABE,Reject,A,The term BABE is often used to refer to a sexually attractive person and can be considered sexually suggestive or objectifying.,English,7/21/2025
